"table_name","table_title","table_description","column_name","column_description","column_title"
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,actual_station_design_whid,warehouse identifier for station design,Actual Station Design Whid
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,best_available_taxonomy_observation_detail_whid,warehouse identifier to best available taxonomy observation detail,Best Available Taxonomy Observation Detail Whid
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,best_available_taxonomy_whid,warehouse identifier to best available taxonomy,Best Available Taxonomy Whid
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,catch_id,"unique(legacy) identifier for the catch from a haul, sorted to taxonomic group or debris type.",Catch ID
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,cpue_kg_per_ha_der,derivation of catch per unit effort in weight (kilograms) per hectare ordinarily estimated as the expanded haul catch weight divided by the area swept by the net.,CPUE (kg/ha)
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,cpue_numbers_per_ha_der,derivation of catch per unit effort in numbers of individuals per hectare ordinarily estimated as the expanded haul catch in numbers divided by the area swept by the net.,CPUE Numbers per Hectares
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,date_whid,warehouse identifier for date,Date Whid
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,field_identified_taxonomy_whid,warehouse identifier to field identified taxonomy,Field Identified Taxonomy Whid
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,field_note,notes made in the field about the catch,Field Note
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,haul_latitude_whid,warehouse identifier for haul latitude,Haul Latitude Whid
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,haul_longitude_whid,warehouse identifier for haul longitude,Haul Longitude Whid
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,most_recent_taxonomy_update_date_whid,warehouse identifier for most recent taxonomy update date,Most Recent Taxonomy Update Date Whid
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,operation_dim_whid,warehouse identifier for operation,Operation Dim Whid
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,sampling_end_time_whid,warehouse identifier for the sampling end time,Sampling End Time Whid
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,sampling_start_time_whid,warehouse identifier for the sampling start time,Sampling Start Time Whid
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,seafloor_depth_whid,warehouse identifier for seafloor depth,Seafloor Depth Whid
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,statistical_partition_whid,warehouse identifier for statistical partition,Statistical Partition Whid
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,subsample_count,count of the subsample used for numbers expansion. This is usually either the counted fraction or the subsample that is measured for fish length.,Subsample Count
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,subsample_wt_kg,weight in kilograms of the subsample used for numbers expansion. This is usually either the counted fraction or the subsample that is measured for fish length.,Subsample Weight (kg)
catch_fact,Catch Fact,Aggregate weight and numbers determined for each species caught within a single haul.,target_station_design_whid,warehouse identifier for target station design,Target Station Design Whid
